epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1125.38,1.99143,1.06427,1.21555,0.73265,0.65538,0.64149,0.25361,1.98656,1.0886,1.18577,0.000656566,0.000656566,0.000656566
2,2247.53,2.04791,1.11017,1.22703,0.52395,0.44,0.42777,0.16105,2.06921,2.07878,1.19704,0.00129703,0.00129703,0.00129703
3,3354.17,2.09086,1.15296,1.26791,0.66054,0.60923,0.60037,0.22323,2.10221,1.18308,1.23097,0.0019111,0.0019111,0.0019111
4,4480.24,2.07565,1.12056,1.26796,0.67925,0.52,0.52507,0.18848,2.10548,1.25309,1.23813,0.0018812,0.0018812,0.0018812
5,5613.69,1.99151,1.06855,1.24312,0.68238,0.60615,0.57424,0.20617,2.1456,1.9216,1.25347,0.0018416,0.0018416,0.0018416
6,7849.66,2.02962,1.06369,1.25522,0.71277,0.60615,0.62048,0.24084,2.04448,1.02074,1.19006,0.001802,0.001802,0.001802
7,8975.51,2.00946,1.08673,1.24747,0.76643,0.63692,0.66752,0.27522,1.97173,1.06073,1.17662,0.0017624,0.0017624,0.0017624
8,10340.7,2.03476,1.05205,1.22599,0.75846,0.61538,0.60542,0.2043,2.28485,1.08071,1.31871,0.0017228,0.0017228,0.0017228
9,11567.3,2.00973,1.01564,1.22522,0.76012,0.663,0.66814,0.25201,2.05831,1.00955,1.22384,0.0016832,0.0016832,0.0016832
10,12698,1.94482,0.99053,1.21453,0.80336,0.59077,0.65484,0.27085,1.94417,1.09,1.16549,0.0016436,0.0016436,0.0016436
11,13837.8,1.98061,0.99592,1.23558,0.70933,0.63074,0.68039,0.29046,1.90651,1.01602,1.15983,0.001604,0.001604,0.001604
12,14976.9,1.94382,0.98909,1.21555,0.77938,0.55436,0.63923,0.27213,1.98965,1.09464,1.1737,0.0015644,0.0015644,0.0015644
13,16129.6,1.99431,1.00865,1.22657,0.74111,0.67823,0.7037,0.28729,1.95373,0.93589,1.16753,0.0015248,0.0015248,0.0015248
14,17386,1.89424,0.95027,1.20875,0.80173,0.65231,0.67507,0.28273,1.97474,0.95102,1.18535,0.0014852,0.0014852,0.0014852
15,18600.7,1.9645,0.97918,1.21521,0.74922,0.62769,0.66807,0.27545,1.9854,0.94606,1.16992,0.0014456,0.0014456,0.0014456
16,19818.3,1.94403,0.97156,1.19637,0.79569,0.68,0.72121,0.28584,2,0.93507,1.1754,0.001406,0.001406,0.001406
17,21005.6,1.94727,0.95436,1.20748,0.77452,0.613,0.65074,0.27863,1.9812,0.93315,1.16981,0.0013664,0.0013664,0.0013664
18,22177.3,1.89442,0.91399,1.19599,0.79362,0.63892,0.71447,0.27119,1.97598,0.93315,1.16961,0.0013268,0.0013268,0.0013268
19,23349.3,1.89942,0.92428,1.20108,0.76902,0.68,0.71738,0.29849,1.92252,0.94583,1.14562,0.0012872,0.0012872,0.0012872
20,24692,1.90229,0.92805,1.1864,0.7646,0.66962,0.71661,0.30545,1.91819,0.89908,1.16203,0.0012476,0.0012476,0.0012476
21,25906.1,1.89138,0.91278,1.18901,0.79821,0.68308,0.73199,0.3086,1.9558,0.90514,1.16905,0.001208,0.001208,0.001208
22,27199.3,1.83341,0.8768,1.1771,0.78789,0.65231,0.699,0.26509,2.10144,0.92589,1.21079,0.0011684,0.0011684,0.0011684
23,28591.9,1.86974,0.89695,1.16826,0.78217,0.68615,0.70677,0.27914,2.00674,0.91141,1.19233,0.0011288,0.0011288,0.0011288
